county,date,reported_date,cholera_cases,malaria_cases,report_delay_days,rain_7day_lag,rain_14day_lag,rain_21day_lag,seasonal_factor,rainfall_mm,population,cholera_rate_per_100k,malaria_rate_per_100k,cholera_lag_3,malaria_lag_3,cholera_lag_5,malaria_lag_5,cholera_lag_7,malaria_lag_7,rain_7day_avg,cholera_7day_avg,cholera_baseline,cholera_baseline_std,outbreak_next_7days,week_of_year,month,year,cholera_missing,malaria_missing,is_rainy_season
Homa Bay,2022-01-12,2022-01-18,,309.0,6,0.0,0.0,0.0,0.8,0.0,1150000,,26.8695652173913,,319.0,0.0,292.0,,319.0,0.07142857142857142,0.25,0.42857142857142855,0.5345224838248488,0,2,1,2022,1,0,0
Homa Bay,2022-01-13,2022-01-20,0.0,290.0,7,0.0,0.0,0.0,0.8,0.0,1150000,0.0,25.217391304347824,0.0,,1.0,,0.0,331.0,0.07142857142857142,0.25,0.375,0.5175491695067657,0,2,1,2022,0,0,0
Homa Bay,2022-01-14,2022-01-19,0.0,320.0,5,0.1,0.0,0.0,0.8,0.0,1150000,0.0,27.82608695652174,,300.0,,319.0,0.0,292.0,0.05714285714285715,0.25,0.3333333333333333,0.5,0,2,1,2022,0,0,0
Homa Bay,2022-01-15,2022-01-22,0.0,287.0,7,0.4,9.1,0.0,0.8,8.0,1150000,0.0,24.956521739130434,,309.0,0.0,,1.0,,1.1428571428571428,0.0,0.3,0.48304589153964794,0,2,1,2022,0,0,0
Homa Bay,2022-01-16,2022-01-23,0.0,,7,0.0,0.1,0.0,0.8,2.2,1150000,0.0,,0.0,290.0,,300.0,,319.0,1.457142857142857,0.0,0.2,0.42163702135578396,0,2,1,2022,0,1,0
Homa Bay,2022-01-17,2022-01-21,1.0,308.0,4,0.0,1.0,0.0,0.8,39.0,1150000,0.08695652173913043,26.782608695652172,0.0,320.0,,309.0,0.0,,7.028571428571429,0.2,0.3,0.48304589153964794,0,3,1,2022,0,0,0
Homa Bay,2022-01-18,2022-01-21,1.0,,3,0.0,3.4,0.0,0.8,3.8,1150000,0.08695652173913043,,0.0,287.0,0.0,290.0,,300.0,7.571428571428571,0.3333333333333333,0.3,0.48304589153964794,0,3,1,2022,0,1,0
Homa Bay,2022-01-19,2022-01-22,0.0,274.0,3,0.0,0.0,0.0,0.8,1.6,1150000,0.0,23.82608695652174,0.0,,0.0,320.0,,309.0,7.8,0.2857142857142857,0.2727272727272727,0.4670993664969138,0,3,1,2022,0,0,0
Homa Bay,2022-01-20,2022-01-24,0.0,316.0,4,0.0,0.0,0.0,0.8,0.0,1150000,0.0,27.478260869565215,1.0,308.0,0.0,287.0,0.0,290.0,7.8,0.2857142857142857,0.2727272727272727,0.4670993664969138,0,3,1,2022,0,0,0
Homa Bay,2022-01-21,2022-01-26,0.0,290.0,5,0.0,0.1,0.0,0.8,0.4,1150000,0.0,25.217391304347824,1.0,,0.0,,0.0,320.0,7.857142857142857,0.2857142857142857,0.2727272727272727,0.4670993664969138,0,3,1,2022,0,0,0
Homa Bay,2022-01-22,2022-01-27,0.0,,5,8.0,0.4,9.1,0.8,0.0,1150000,0.0,,0.0,274.0,1.0,308.0,0.0,287.0,6.714285714285714,0.2857142857142857,0.18181818181818182,0.40451991747794525,0,3,1,2022,0,1,0
Homa Bay,2022-01-23,2022-01-28,,301.0,5,2.2,0.0,0.1,0.8,1.7,1150000,,26.173913043478258,0.0,316.0,1.0,,0.0,,6.642857142857143,0.3333333333333333,0.18181818181818182,0.40451991747794525,0,3,1,2022,1,0,0
Homa Bay,2022-01-24,2022-01-31,,324.0,7,39.0,0.0,1.0,0.8,0.0,1150000,,28.173913043478258,0.0,290.0,0.0,274.0,1.0,308.0,1.0714285714285714,0.2,0.2,0.4216370213557839,0,4,1,2022,1,0,0
Homa Bay,2022-01-25,2022-01-30,0.0,309.0,5,3.8,0.0,3.4,0.8,0.0,1150000,0.0,26.8695652173913,0.0,,0.0,316.0,1.0,,0.5285714285714286,0.0,0.18181818181818182,0.40451991747794525,0,4,1,2022,0,0,0
Homa Bay,2022-01-26,2022-02-02,1.0,316.0,7,1.6,0.0,0.0,0.8,0.0,1150000,0.08695652173913043,27.478260869565215,,301.0,0.0,290.0,0.0,274.0,0.3,0.2,0.25,0.45226701686664544,0,4,1,2022,0,0,0
Homa Bay,2022-01-27,2022-01-31,,288.0,4,0.0,0.0,0.0,0.8,0.0,1150000,,25.043478260869563,,324.0,0.0,,0.0,316.0,0.3,0.25,0.2727272727272727,0.46709936649691375,0,4,1,2022,1,0,0
Homa Bay,2022-01-28,2022-01-31,,,3,0.4,0.0,0.1,0.8,0.1,1150000,,,0.0,309.0,,301.0,0.0,290.0,0.2571428571428572,0.3333333333333333,0.3,0.4830458915396479,0,4,1,2022,1,1,0
Homa Bay,2022-01-29,2022-02-04,0.0,316.0,6,0.0,8.0,0.4,0.8,0.2,1150000,0.0,27.478260869565215,1.0,316.0,,324.0,0.0,,0.2857142857142857,0.3333333333333333,0.3,0.4830458915396479,0,4,1,2022,0,0,0
Homa Bay,2022-01-30,2022-02-03,,318.0,4,1.7,2.2,0.0,0.8,2.2,1150000,,27.652173913043477,,288.0,0.0,309.0,,301.0,0.35714285714285715,0.3333333333333333,0.3333333333333333,0.49999999999999994,0,4,1,2022,1,0,0
Homa Bay,2022-01-31,2022-02-05,0.0,289.0,5,0.0,39.0,0.0,0.8,16.3,1150000,0.0,25.130434782608692,,,1.0,316.0,,324.0,2.685714285714286,0.25,0.2222222222222222,0.4409585518440984,0,5,1,2022,0,0,0
Homa Bay,2022-02-01,2022-02-04,0.0,,3,0.0,3.8,0.0,0.8,2.6,1150000,0.0,,0.0,316.0,,288.0,0.0,309.0,3.0571428571428574,0.25,0.1111111111111111,0.33333333333333326,0,5,2,2022,0,1,0
Homa Bay,2022-02-02,2022-02-09,1.0,311.0,7,0.0,1.6,0.0,0.8,0.0,1150000,0.08695652173913043,27.043478260869563,,318.0,,,1.0,316.0,3.0571428571428574,0.25,0.2222222222222222,0.4409585518440984,0,5,2,2022,0,0,0
Homa Bay,2022-02-03,2022-02-06,0.0,314.0,3,0.0,0.0,0.0,0.8,0.4,1150000,0.0,27.304347826086953,0.0,289.0,0.0,316.0,,288.0,3.1142857142857143,0.2,0.2222222222222222,0.4409585518440984,0,5,2,2022,0,0,0
Homa Bay,2022-02-04,2022-02-09,0.0,304.0,5,0.1,0.4,0.0,0.8,0.2,1150000,0.0,26.43478260869565,0.0,,,318.0,,,3.1285714285714286,0.16666666666666666,0.2222222222222222,0.4409585518440984,0,5,2,2022,0,0,0
Homa Bay,2022-02-05,2022-02-08,0.0,,3,0.2,0.0,8.0,0.8,4.1,1150000,0.0,,1.0,311.0,0.0,289.0,0.0,316.0,3.685714285714286,0.16666666666666666,0.2222222222222222,0.4409585518440984,0,5,2,2022,0,1,0
Homa Bay,2022-02-06,2022-02-09,,298.0,3,2.2,1.7,2.2,0.8,0.7,1150000,,25.913043478260867,0.0,314.0,0.0,,,318.0,3.4714285714285715,0.16666666666666666,0.2222222222222222,0.4409585518440984,0,5,2,2022,1,0,0
Homa Bay,2022-02-07,2022-02-14,,,7,16.3,0.0,39.0,0.8,0.8,1150000,,,0.0,304.0,1.0,311.0,0.0,289.0,1.2571428571428573,0.2,0.2222222222222222,0.4409585518440984,0,6,2,2022,1,1,0
Homa Bay,2022-02-08,2022-02-11,0.0,325.0,3,2.6,0.0,3.8,0.8,0.0,1150000,0.0,28.260869565217387,0.0,,0.0,314.0,0.0,,0.8857142857142858,0.2,0.2222222222222222,0.4409585518440984,0,6,2,2022,0,0,0
Homa Bay,2022-02-09,2022-02-14,1.0,334.0,5,0.0,0.0,1.6,0.8,9.7,1150000,0.08695652173913043,29.043478260869563,,298.0,0.0,304.0,1.0,311.0,2.2714285714285714,0.2,0.2222222222222222,0.4409585518440984,0,6,2,2022,0,0,0
Homa Bay,2022-02-10,2022-02-16,,292.0,6,0.4,0.0,0.0,0.8,0.1,1150000,,25.391304347826086,,,0.0,,0.0,314.0,2.228571428571428,0.25,0.2222222222222222,0.4409585518440984,0,6,2,2022,1,0,0
Homa Bay,2022-02-11,2022-02-17,,280.0,6,0.2,0.1,0.4,0.8,0.0,1150000,,24.347826086956523,0.0,325.0,,298.0,0.0,304.0,2.1999999999999997,0.3333333333333333,0.2222222222222222,0.4409585518440984,0,6,2,2022,1,0,0
Homa Bay,2022-02-12,2022-02-15,0.0,280.0,3,4.1,0.2,0.0,0.8,12.1,1150000,0.0,24.347826086956523,1.0,334.0,,,0.0,,3.3428571428571425,0.3333333333333333,0.2222222222222222,0.4409585518440984,0,6,2,2022,0,0,0
Homa Bay,2022-02-13,2022-02-19,0.0,297.0,6,0.7,2.2,1.7,0.8,0.0,1150000,0.0,25.82608695652174,,292.0,0.0,325.0,,298.0,3.242857142857143,0.25,0.2,0.42163702135578385,0,6,2,2022,0,0,0
Homa Bay,2022-02-14,2022-02-20,0.0,311.0,6,0.8,16.3,0.0,0.8,0.5,1150000,0.0,27.043478260869563,,280.0,1.0,334.0,,,3.1999999999999997,0.2,0.2,0.42163702135578385,0,7,2,2022,0,0,0
Homa Bay,2022-02-15,2022-02-22,2.0,303.0,7,0.0,2.6,0.0,0.8,0.1,1150000,0.17391304347826086,26.34782608695652,0.0,280.0,,292.0,0.0,325.0,3.2142857142857144,0.6,0.4,0.699205898780101,1,7,2,2022,0,0,0
Homa Bay,2022-02-16,2022-02-21,,332.0,5,9.7,0.0,0.0,0.8,0.1,1150000,,28.8695652173913,0.0,297.0,,280.0,1.0,334.0,1.8428571428571427,0.5,0.3333333333333333,0.7071067811865475,0,7,2,2022,1,0,0
Homa Bay,2022-02-17,2022-02-20,0.0,311.0,3,0.1,0.4,0.0,0.8,0.0,1150000,0.0,27.043478260869563,0.0,311.0,0.0,280.0,,292.0,1.8285714285714285,0.4,0.3333333333333333,0.7071067811865475,0,7,2,2022,0,0,0
Homa Bay,2022-02-18,2022-02-24,,277.0,6,0.0,0.2,0.1,0.8,0.2,1150000,,24.086956521739133,2.0,303.0,0.0,297.0,,280.0,1.8571428571428572,0.4,0.375,0.7440238091428449,0,7,2,2022,1,0,0
Homa Bay,2022-02-19,2022-02-23,,311.0,4,12.1,4.1,0.2,0.8,0.8,1150000,,27.043478260869563,,332.0,0.0,311.0,0.0,280.0,0.24285714285714288,0.5,0.42857142857142855,0.7867957924694431,0,7,2,2022,1,0,0
Homa Bay,2022-02-20,2022-02-24,,359.0,4,0.0,0.7,2.2,0.8,11.8,1150000,,31.217391304347828,0.0,311.0,2.0,303.0,0.0,297.0,1.9285714285714286,0.6666666666666666,0.42857142857142855,0.7867957924694431,0,7,2,2022,1,0,0
Homa Bay,2022-02-21,2022-02-25,0.0,478.0,4,0.5,0.8,16.3,0.8,0.7,1150000,0.0,41.56521739130435,,277.0,,332.0,0.0,311.0,1.957142857142857,0.6666666666666666,0.375,0.7440238091428449,0,8,2,2022,0,0,0
Homa Bay,2022-02-22,2022-02-25,,320.0,3,0.1,0.0,2.6,0.8,0.1,1150000,,27.82608695652174,,311.0,0.0,311.0,2.0,303.0,1.9571428571428573,0.0,0.42857142857142855,0.7867957924694431,0,8,2,2022,1,0,0
Homa Bay,2022-02-23,2022-03-02,0.0,,7,0.1,9.7,0.0,0.8,0.9,1150000,0.0,,,359.0,,277.0,,332.0,2.0714285714285716,0.0,0.2857142857142857,0.7559289460184544,0,8,2,2022,0,1,0
Homa Bay,2022-02-24,2022-03-01,,,5,0.0,0.1,0.4,0.8,2.8,1150000,,,0.0,478.0,,311.0,0.0,311.0,2.4714285714285715,0.0,0.2857142857142857,0.7559289460184544,0,8,2,2022,1,1,0
Homa Bay,2022-02-25,2022-03-02,,,5,0.2,0.0,0.2,0.8,0.0,1150000,,,,320.0,,359.0,,277.0,2.442857142857143,0.0,0.2857142857142857,0.7559289460184544,0,8,2,2022,1,1,0
Homa Bay,2022-02-26,2022-03-04,,,6,0.8,12.1,4.1,0.8,0.0,1150000,,,0.0,,0.0,478.0,,311.0,2.3285714285714287,0.0,0.3333333333333333,0.816496580927726,0,8,2,2022,1,1,0
Homa Bay,2022-02-27,2022-03-02,0.0,306.0,3,11.8,0.0,0.7,0.8,0.0,1150000,0.0,26.60869565217391,,,,320.0,,359.0,0.6428571428571429,0.0,0.3333333333333333,0.816496580927726,0,8,2,2022,0,0,0
Homa Bay,2022-02-28,2022-03-04,0.0,316.0,4,0.7,0.5,0.8,0.8,0.0,1150000,0.0,27.478260869565215,,,0.0,,0.0,478.0,0.5428571428571428,0.0,0.3333333333333333,0.816496580927726,0,9,2,2022,0,0,0
Homa Bay,2022-03-01,2022-03-04,0.0,326.0,3,0.1,0.1,0.0,0.8,0.1,1150000,0.0,28.34782608695652,,,,,,320.0,0.5428571428571429,0.0,0.0,0.0,0,9,3,2022,0,0,0
Homa Bay,2022-03-02,2022-03-06,0.0,367.0,4,0.9,0.1,9.7,0.8,0.0,1150000,0.0,31.91304347826087,0.0,306.0,,,0.0,,0.4142857142857143,0.0,0.0,0.0,0,9,3,2022,0,0,0
Homa Bay,2022-03-03,2022-03-06,,326.0,3,2.8,0.0,0.1,0.8,4.5,1150000,,28.34782608695652,0.0,316.0,,,,,0.6571428571428573,0.0,0.0,0.0,0,9,3,2022,1,0,0
Homa Bay,2022-03-04,2022-03-08,,314.0,4,0.0,0.2,0.0,0.8,0.0,1150000,,27.304347826086953,0.0,326.0,0.0,306.0,,,0.6571428571428573,0.0,0.0,0.0,0,9,3,2022,1,0,0
Homa Bay,2022-03-05,2022-03-12,0.0,384.0,7,0.0,0.8,12.1,0.8,0.0,1150000,0.0,33.391304347826086,0.0,367.0,0.0,316.0,,,0.6571428571428573,0.0,0.0,0.0,0,9,3,2022,0,0,0
Homa Bay,2022-03-06,2022-03-13,0.0,,7,0.0,11.8,0.0,0.8,0.0,1150000,0.0,,,326.0,0.0,326.0,0.0,306.0,0.6571428571428573,0.0,0.0,0.0,0,9,3,2022,0,1,0
Homa Bay,2022-03-07,2022-03-11,,,4,0.0,0.7,0.5,0.8,0.0,1150000,,,,314.0,0.0,367.0,0.0,316.0,0.6571428571428573,0.0,0.0,0.0,0,10,3,2022,1,1,0
Homa Bay,2022-03-08,2022-03-15,,331.0,7,0.1,0.1,0.1,0.8,0.0,1150000,,28.782608695652172,0.0,384.0,,326.0,0.0,326.0,0.642857142857143,0.0,0.0,0.0,0,10,3,2022,1,0,0
Homa Bay,2022-03-09,2022-03-15,,322.0,6,0.0,0.9,0.1,0.8,0.5,1150000,,27.999999999999996,0.0,,,314.0,0.0,367.0,0.7142857142857144,0.0,0.0,0.0,0,10,3,2022,1,0,0
Homa Bay,2022-03-10,2022-03-15,0.0,289.0,5,4.5,2.8,0.0,0.8,0.1,1150000,0.0,25.130434782608692,,,0.0,384.0,,326.0,0.08571428571428584,0.0,0.0,0.0,0,10,3,2022,0,0,0
Homa Bay,2022-03-11,2022-03-17,0.0,,6,0.0,0.0,0.2,0.8,0.0,1150000,0.0,,,331.0,0.0,,,314.0,0.08571428571428584,0.0,0.0,0.0,0,10,3,2022,0,1,0
Homa Bay,2022-03-12,2022-03-17,0.0,321.0,5,0.0,0.0,0.8,0.8,0.0,1150000,0.0,27.913043478260867,,322.0,,,0.0,384.0,0.08571428571428584,0.0,0.0,0.0,0,10,3,2022,0,0,0
Homa Bay,2022-03-13,2022-03-17,0.0,414.0,4,0.0,0.0,11.8,0.8,4.1,1150000,0.0,36.0,0.0,289.0,,331.0,0.0,,0.6714285714285715,0.0,0.0,0.0,0,10,3,2022,0,0,0
Homa Bay,2022-03-14,2022-03-19,0.0,342.0,5,0.0,0.0,0.7,0.8,0.7,1150000,0.0,29.739130434782606,0.0,,,322.0,,,0.7714285714285715,0.0,0.0,0.0,0,11,3,2022,0,0,0
Homa Bay,2022-03-15,2022-03-19,0.0,312.0,4,0.0,0.1,0.1,0.8,0.0,1150000,0.0,27.130434782608692,0.0,321.0,0.0,289.0,,331.0,0.7714285714285715,0.0,0.0,0.0,0,11,3,2022,0,0,0
Homa Bay,2022-03-16,2022-03-19,,,3,0.5,0.0,0.9,0.8,2.5,1150000,,,0.0,414.0,0.0,,,322.0,1.0571428571428572,0.0,0.0,0.0,0,11,3,2022,1,1,0
Homa Bay,2022-03-17,2022-03-21,0.0,325.0,4,0.1,4.5,2.8,0.8,2.5,1150000,0.0,28.260869565217387,0.0,342.0,0.0,321.0,0.0,289.0,1.4000000000000001,0.0,0.0,0.0,0,11,3,2022,0,0,0
Homa Bay,2022-03-18,2022-03-23,,297.0,5,0.0,0.0,0.0,0.8,1.1,1150000,,25.82608695652174,0.0,312.0,0.0,414.0,0.0,,1.5571428571428572,0.0,0.0,0.0,0,11,3,2022,1,0,0
Homa Bay,2022-03-19,2022-03-25,0.0,262.0,6,0.0,0.0,0.0,0.8,0.0,1150000,0.0,22.782608695652176,,,0.0,342.0,0.0,321.0,1.5571428571428572,0.0,0.0,0.0,0,11,3,2022,0,0,0
Homa Bay,2022-03-20,2022-03-27,0.0,,7,4.1,0.0,0.0,0.8,0.1,1150000,0.0,,0.0,325.0,0.0,312.0,0.0,414.0,0.9857142857142859,0.0,0.0,0.0,0,11,3,2022,0,1,0
Homa Bay,2022-03-21,2022-03-28,,307.0,7,0.7,0.0,0.0,0.8,0.1,1150000,,26.69565217391304,,297.0,,,0.0,342.0,0.9000000000000001,0.0,0.0,0.0,0,12,3,2022,1,0,0
Homa Bay,2022-03-22,2022-03-26,0.0,306.0,4,0.0,0.0,0.1,0.8,1.2,1150000,0.0,26.60869565217391,0.0,262.0,0.0,325.0,0.0,312.0,1.0714285714285716,0.0,0.0,0.0,0,12,3,2022,0,0,0
Homa Bay,2022-03-23,2022-03-28,0.0,291.0,5,2.5,0.5,0.0,0.8,10.4,1150000,0.0,25.304347826086953,0.0,,,297.0,,,2.2,0.0,0.0,0.0,0,12,3,2022,0,0,0
Homa Bay,2022-03-24,2022-03-30,,339.0,6,2.5,0.1,4.5,0.8,5.9,1150000,,29.478260869565215,,307.0,0.0,262.0,0.0,325.0,2.685714285714286,0.0,0.0,0.0,0,12,3,2022,1,0,0
Homa Bay,2022-03-25,2022-03-30,0.0,286.0,5,1.1,0.0,0.0,0.8,0.0,1150000,0.0,24.8695652173913,0.0,306.0,0.0,,,297.0,2.5285714285714285,0.0,0.0,0.0,0,12,3,2022,0,0,0
Homa Bay,2022-03-26,2022-03-29,2.0,302.0,3,0.0,0.0,0.0,0.8,6.4,1150000,0.17391304347826086,26.26086956521739,0.0,291.0,,307.0,0.0,262.0,3.442857142857143,0.4,0.2,0.6324555320336758,1,12,3,2022,0,0,0
Homa Bay,2022-03-27,2022-04-01,0.0,,5,0.1,4.1,0.0,0.8,3.4,1150000,0.0,,,339.0,0.0,306.0,0.0,,3.9142857142857146,0.4,0.2,0.6324555320336758,0,12,3,2022,0,1,0
Homa Bay,2022-03-28,2022-04-01,0.0,317.0,4,0.1,0.7,0.0,0.8,14.2,1150000,0.0,27.565217391304344,0.0,286.0,0.0,291.0,,307.0,5.928571428571429,0.3333333333333333,0.2,0.6324555320336758,0,13,3,2022,0,0,0
Homa Bay,2022-03-29,2022-04-02,,,4,1.2,0.0,0.0,0.8,6.2,1150000,,,2.0,302.0,,339.0,0.0,306.0,6.642857142857143,0.4,0.2222222222222222,0.6666666666666666,0,13,3,2022,1,1,0
Homa Bay,2022-03-30,2022-04-06,0.0,319.0,7,10.4,2.5,0.5,0.8,9.5,1150000,0.0,27.739130434782606,0.0,,0.0,286.0,0.0,291.0,6.514285714285713,0.4,0.2,0.6324555320336758,0,13,3,2022,0,0,0
Homa Bay,2022-03-31,2022-04-06,0.0,310.0,6,5.9,2.5,0.1,0.8,0.0,1150000,0.0,26.956521739130434,0.0,317.0,2.0,302.0,,339.0,5.671428571428572,0.3333333333333333,0.2,0.6324555320336758,0,13,3,2022,0,0,0
Homa Bay,2022-04-01,2022-04-08,1.0,557.0,7,0.0,1.1,0.0,1.5,0.0,1150000,0.08695652173913043,48.434782608695656,,,0.0,,0.0,286.0,5.671428571428572,0.5,0.2727272727272727,0.6466697906828632,0,13,4,2022,0,0,1
Homa Bay,2022-04-02,2022-04-07,,556.0,5,6.4,0.0,0.0,1.5,0.0,1150000,,48.34782608695652,0.0,319.0,0.0,317.0,2.0,302.0,4.757142857142857,0.2,0.3,0.6749485577105528,0,13,4,2022,1,0,1
Homa Bay,2022-04-03,2022-04-06,0.0,631.0,3,3.4,0.1,4.1,1.5,0.0,1150000,0.0,54.869565217391305,0.0,310.0,,,0.0,,4.271428571428571,0.2,0.3,0.6749485577105528,0,13,4,2022,0,0,1
Homa Bay,2022-04-04,2022-04-10,1.0,586.0,6,14.2,0.1,0.7,1.5,0.1,1150000,0.08695652173913043,50.95652173913043,1.0,557.0,0.0,319.0,0.0,317.0,2.257142857142857,0.4,0.36363636363636365,0.674199862463242,0,14,4,2022,0,0,1
Homa Bay,2022-04-05,2022-04-09,1.0,543.0,4,6.2,1.2,0.0,1.5,0.2,1150000,0.08695652173913043,47.21739130434783,,556.0,0.0,310.0,,,1.4,0.5,0.45454545454545453,0.6875516509523285,0,14,4,2022,0,0,1
Homa Bay,2022-04-06,2022-04-12,,611.0,6,9.5,10.4,2.5,1.5,0.1,1150000,,53.130434782608695,0.0,631.0,1.0,557.0,0.0,319.0,0.05714285714285689,0.6,0.5,0.7071067811865474,0,14,4,2022,1,0,1
Homa Bay,2022-04-07,2022-04-14,,564.0,7,0.0,5.9,2.5,1.5,2.2,1150000,,49.04347826086956,1.0,586.0,,556.0,0.0,310.0,0.37142857142857116,0.75,0.5,0.7071067811865474,0,14,4,2022,1,0,1
Homa Bay,2022-04-08,2022-04-12,,564.0,4,0.0,0.0,1.1,1.5,0.3,1150000,,49.04347826086956,1.0,543.0,0.0,631.0,1.0,557.0,0.41428571428571404,0.6666666666666666,0.5555555555555556,0.7264831572567788,0,14,4,2022,1,0,1
Homa Bay,2022-04-09,2022-04-12,0.0,,3,0.0,6.4,0.0,1.5,0.0,1150000,0.0,,,611.0,1.0,586.0,,556.0,0.41428571428571404,0.5,0.3333333333333333,0.4999999999999998,0,14,4,2022,0,1,1
Homa Bay,2022-04-10,2022-04-14,0.0,581.0,4,0.0,3.4,0.1,1.5,0.0,1150000,0.0,50.52173913043478,,564.0,1.0,543.0,0.0,631.0,0.41428571428571404,0.5,0.3333333333333333,0.4999999999999998,0,14,4,2022,0,0,1
Homa Bay,2022-04-11,2022-04-16,0.0,580.0,5,0.1,14.2,0.1,1.5,0.2,1150000,0.0,50.43478260869565,,564.0,,611.0,1.0,586.0,0.4285714285714283,0.25,0.3333333333333333,0.4999999999999998,0,15,4,2022,0,0,1
Homa Bay,2022-04-12,2022-04-19,1.0,584.0,7,0.2,6.2,1.2,1.5,2.1,1150000,0.08695652173913043,50.78260869565217,0.0,,,564.0,1.0,543.0,0.6999999999999998,0.25,0.4,0.5163977794943221,0,15,4,2022,0,0,1
Homa Bay,2022-04-13,2022-04-17,0.0,714.0,4,0.1,9.5,10.4,1.5,0.5,1150000,0.0,62.08695652173913,0.0,581.0,,564.0,,611.0,0.7571428571428569,0.2,0.4,0.5163977794943221,0,15,4,2022,0,0,1
Homa Bay,2022-04-14,2022-04-21,,,7,2.2,0.0,5.9,1.5,1.8,1150000,,,0.0,580.0,0.0,,,564.0,0.6999999999999998,0.2,0.4444444444444444,0.5270462766947297,0,15,4,2022,1,1,1
Homa Bay,2022-04-15,2022-04-19,1.0,,4,0.3,0.0,0.0,1.5,15.2,1150000,0.08695652173913043,,1.0,584.0,0.0,581.0,,564.0,2.8285714285714283,0.3333333333333333,0.4444444444444444,0.5270462766947297,0,15,4,2022,0,1,1
Homa Bay,2022-04-16,2022-04-21,,,5,0.0,0.0,6.4,1.5,17.6,1150000,,,0.0,714.0,0.0,580.0,0.0,,5.3428571428571425,0.4,0.4444444444444444,0.5270462766947297,0,15,4,2022,1,1,1
Homa Bay,2022-04-17,2022-04-24,,633.0,7,0.0,0.0,3.4,1.5,10.1,1150000,,55.04347826086956,,,1.0,584.0,0.0,581.0,6.785714285714286,0.5,0.5,0.5345224838248486,0,15,4,2022,1,0,1
Homa Bay,2022-04-18,2022-04-21,0.0,736.0,3,0.2,0.1,14.2,1.5,0.4,1150000,0.0,64.0,1.0,,0.0,714.0,0.0,580.0,6.814285714285714,0.5,0.375,0.5175491695067654,0,16,4,2022,0,0,1
Homa Bay,2022-04-19,2022-04-26,,643.0,7,2.1,0.2,6.2,1.5,3.5,1150000,,55.91304347826087,,,,,1.0,584.0,7.014285714285714,0.3333333333333333,0.2857142857142857,0.4879500364742663,0,16,4,2022,1,0,1
Homa Bay,2022-04-20,2022-04-24,0.0,683.0,4,0.5,0.1,9.5,1.5,12.1,1150000,0.0,59.391304347826086,,633.0,1.0,,0.0,714.0,8.671428571428573,0.3333333333333333,0.25,0.4629100498862755,0,16,4,2022,0,0,1
